timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/11/19 11:02:40.055, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:41.057, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:42.059, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:43.073, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 84 %, 36 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:44.075, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:45.078, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:46.079, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:47.082, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:48.084, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 94 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:49.086, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:50.088, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:51.089, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:52.094, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:53.096, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:54.099, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:55.100, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:56.103, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:57.104, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 98 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:58.106, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 80 %, 44 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:02:59.108, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
